model,n_estimators,max_samples,n_neighbors,nu,gamma,threshold_percentile,threshold,pred_normal,pred_anomaly,precision,recall,f1,auroc,auprc
OneClassSVM,,,,0.03,scale,1,0.12460510805132827,4515,595,0.8840336134453781,0.6360338573155986,0.739803094233474,0.8714512339072304,0.7608349870050519
OneClassSVM,,,,0.01,scale,7,0.07477166968345195,4475,635,0.8503937007874016,0.652962515114873,0.7387140902872777,0.86720989395662,0.7488696465327654
OneClassSVM,,,,0.01,0.01,5,0.04156666311259549,4514,596,0.8808724832214765,0.6348246674727932,0.7378777231201686,0.8566004741334163,0.7326578203096838
OneClassSVM,,,,0.05,0.01,5,0.13927698497452212,4495,615,0.865040650406504,0.6432889963724304,0.7378640776699029,0.8549082294643117,0.7355360912280496
OneClassSVM,,,,0.1,scale,10,0.5017418447908426,4352,758,0.7704485488126649,0.7061668681983071,0.7369085173501577,0.8776581072889895,0.7673929867020243
OneClassSVM,,,,0.1,0.01,3,0.20955512338460666,4516,594,0.8804713804713805,0.6324062877871826,0.7361013370865588,0.8512487574254506,0.7290936829260081
OneClassSVM,,,,0.03,0.01,1,0.07652052614783997,4521,589,0.8845500848896435,0.6299879081015719,0.7358757062146892,0.8527241779527679,0.7352673904734515
OneClassSVM,,,,0.01,0.01,3,0.03874214797589985,4523,587,0.8841567291311755,0.6275695284159613,0.7340876944837341,0.8566004741334163,0.7326578203096838
OneClassSVM,,,,0.01,scale,10,0.08031366461853295,4421,689,0.806966618287373,0.6723095525997581,0.7335092348284961,0.86720989395662,0.7488696465327654
OneClassSVM,,,,0.01,scale,3,0.06558833670655169,4525,585,0.8837606837606837,0.6251511487303507,0.7322946175637394,0.86720989395662,0.7488696465327654
OneClassSVM,,,,0.01,0.01,10,0.04653972671437678,4459,651,0.8310291858678955,0.6541717049576784,0.7320703653585927,0.8566004741334163,0.7326578203096838
OneClassSVM,,,,0.05,0.01,1,0.09588655051048889,4533,577,0.8890814558058926,0.6203143893591294,0.7307692307692307,0.8549082294643117,0.7355360912280496
OneClassSVM,,,,0.1,0.01,1,0.1475502612815177,4539,571,0.8896672504378283,0.6142684401451027,0.7267525035765379,0.8512487574254506,0.7290936829260081
LocalOutlierFactor,,,50.0,,,5,-4.125824451446533,3659,1451,0.5699517574086836,1.0,0.7260755048287972,0.9926988422776586,0.9433627828469002
OneClassSVM,,,,0.05,0.01,7,0.15274994723694987,4431,679,0.801178203240059,0.6577992744860943,0.7224435590969456,0.8549082294643117,0.7355360912280496
OneClassSVM,,,,0.1,0.01,5,0.24097653964950894,4470,640,0.8265625,0.6396614268440145,0.7211997273346966,0.8512487574254506,0.7290936829260081
OneClassSVM,,,,0.01,0.01,1,0.03383748320659112,4546,564,0.8865248226950354,0.6045949214026602,0.7189072609633357,0.8566004741334163,0.7326578203096838
OneClassSVM,,,,0.01,scale,1,0.05864423112617949,4555,555,0.8828828828828829,0.592503022974607,0.7091172214182344,0.86720989395662,0.7488696465327654
LocalOutlierFactor,,,20.0,,,5,-7.316487789154053,3613,1497,0.5470941883767535,0.9903264812575574,0.7048192771084337,0.9831407936836417,0.9354569053400125
LocalOutlierFactor,,,100.0,,,5,-3.6959304809570312,3584,1526,0.5419397116644823,1.0,0.7029324266893328,0.9930991764352812,0.945963582036662
OneClassSVM,,,,0.03,scale,15,0.2001476518482903,4271,839,0.6972586412395709,0.7073760580411125,0.7022809123649459,0.8714512339072304,0.7608349870050519
OneClassSVM,,,,0.1,scale,15,0.56081130605196,4241,869,0.6846950517836594,0.7194679564691656,0.7016509433962265,0.8776581072889895,0.7673929867020243
OneClassSVM,,,,0.05,scale,15,0.30677025169953964,4257,853,0.6893317702227433,0.7110036275695284,0.7,0.8751251044242571,0.765228798321386
OneClassSVM,,,,0.1,0.01,7,0.26755146141148317,4416,694,0.7665706051873199,0.6432889963724304,0.6995397764628534,0.8512487574254506,0.7290936829260081
OneClassSVM,,,,0.05,0.01,10,0.16759627486800355,4344,766,0.7271540469973891,0.6735187424425635,0.6993094789704959,0.8549082294643117,0.7355360912280496
OneClassSVM,,,,0.05,0.1,5,-0.053293806347739725,3544,1566,0.5280970625798213,1.0,0.691182615963226,0.9971846740339823,0.9768223092254805
OneClassSVM,,,,0.01,scale,15,0.08762693420894152,4273,837,0.6857825567502986,0.694074969770254,0.6899038461538461,0.86720989395662,0.7488696465327654
OneClassSVM,,,,0.03,0.01,15,0.12296212562562303,4316,794,0.7040302267002518,0.6759371221281741,0.6896977174583591,0.8527241779527679,0.7352673904734515
OneClassSVM,,,,0.01,0.01,15,0.05079820066819618,4331,779,0.7086007702182285,0.6674727932285369,0.6874221668742216,0.8566004741334163,0.7326578203096838
OneClassSVM,,,,0.01,0.1,5,-0.004582119691849851,3518,1592,0.5194723618090452,1.0,0.683753617197189,0.9971406316301815,0.9761460835645259
OneClassSVM,,,,0.1,0.01,10,0.2957568636979886,4331,779,0.7047496790757382,0.6638452237001209,0.6836861768368617,0.8512487574254506,0.7290936829260081
LocalOutlierFactor,,,10.0,,,5,-7.42574405670166,3601,1509,0.5288270377733598,0.9649334945586457,0.6832191780821918,0.9570806774963927,0.9082543668080075
