method,augmentation_family,seed,normal_train_used,real_anomaly_seed_used,generated_anomaly_used,total_anomaly_train_used,normal_to_anomaly_ratio,threshold,validation_precision,validation_recall,validation_f1,precision,recall,f1,f2,auroc,auprc,pred_anomaly,false_negative,false_positive
Original only,none,103,5000,247,0,247,20.242914979757085,0.9099999999999999,0.6097560975609756,0.6097560975609756,0.6097560975609756,0.7063492063492064,0.6013513513513513,0.6496350364963503,0.6197771587743732,0.952662671648309,0.7465923366351372,252,118,74
Magnitude warping,traditional,103,5000,247,1000,1247,4.0096230954290295,0.8499999999999999,0.8059701492537313,0.6585365853658537,0.7248322147651006,0.8745098039215686,0.7533783783783784,0.809437386569873,0.7748436414176512,0.9894694065699452,0.9210825571787258,255,73,32
Masking Diffusion,generative,103,5000,247,1000,1247,4.0096230954290295,0.8999999999999999,0.9137931034482759,0.6463414634146342,0.7571428571428571,0.9241706161137441,0.6587837837837838,0.7692307692307693,0.6989247311827957,0.9822674559658402,0.8893004661520074,211,101,16
Filtered@750 Masking Diffusion,generative_filtered,103,5000,247,750,997,5.015045135406218,0.8699999999999999,0.6666666666666666,0.6951219512195121,0.6805970149253732,0.6786786786786787,0.7635135135135135,0.7186009538950715,0.7448912326961108,0.9770076180309573,0.8466962559659748,333,70,107
Original only,none,104,5000,247,0,247,20.242914979757085,0.8799999999999999,0.675,0.6585365853658537,0.6666666666666666,0.708185053380783,0.6722972972972973,0.6897746967071057,0.6791808873720137,0.9594546072104421,0.7867641751876456,281,97,82
Magnitude warping,traditional,104,5000,247,1000,1247,4.0096230954290295,0.83,0.916030534351145,0.7317073170731707,0.8135593220338984,0.9351145038167938,0.8277027027027027,0.8781362007168458,0.84716459197787,0.9941384831869571,0.9479376115988504,262,51,17
Masking Diffusion,generative,104,5000,247,1000,1247,4.0096230954290295,0.8699999999999999,0.925,0.676829268292683,0.7816901408450704,0.935064935064935,0.7297297297297297,0.8197343453510436,0.7632508833922261,0.9898903391722065,0.9210508953512625,231,80,15
Filtered@750 Masking Diffusion,generative_filtered,104,5000,247,750,997,5.015045135406218,0.8699999999999999,0.8372093023255814,0.6585365853658537,0.7372013651877133,0.8813559322033898,0.7027027027027027,0.7819548872180451,0.7323943661971831,0.9876413217526323,0.9104358263693428,236,88,28
Original only,none,105,5000,247,0,247,20.242914979757085,0.9099999999999999,0.768,0.5853658536585366,0.6643598615916955,0.8169014084507042,0.5878378378378378,0.6836935166994106,0.6227630637079457,0.9557438497743704,0.7849784252797719,213,122,39
Magnitude warping,traditional,105,5000,247,1000,1247,4.0096230954290295,0.83,0.928,0.7073170731707317,0.8027681660899654,0.9604743083003953,0.8209459459459459,0.8852459016393442,0.8455114822546973,0.9949306128390508,0.9642292126323206,253,53,10
