method,augmentation_family,seed,normal_train_used,real_anomaly_seed_used,generated_anomaly_used,total_anomaly_train_used,normal_to_anomaly_ratio,threshold,validation_precision,validation_recall,validation_f1,precision,recall,f1,f2,auroc,auprc,pred_anomaly,false_negative,false_positive,anomaly_seed_count
Original only,none,204,5000,50,0,50,100.0,0.29,0.3715170278637771,0.7317073170731707,0.4928131416837782,0.24742268041237114,0.7297297297297297,0.369546621043627,0.5250364608653378,0.8221371730797224,0.4402114424089617,873,80,657,50
Magnitude warping,traditional,204,5000,50,1000,1050,4.761904761904762,0.4599999999999999,0.8308823529411765,0.6890243902439024,0.7533333333333333,0.8055555555555556,0.6858108108108109,0.7408759124087592,0.7068245125348189,0.9086000048522489,0.7765183992708543,252,93,49,50
Filtered@750 Masking Diffusion,generative_filtered,204,5000,50,750,800,6.25,0.5599999999999999,0.6645569620253164,0.6402439024390244,0.6521739130434783,0.5882352941176471,0.6418918918918919,0.6138933764135702,0.630391506303915,0.9024515988160513,0.6968017357025531,323,106,133,50
Original only,none,200,5000,100,0,100,50.0,0.59,0.43478260869565216,0.6707317073170732,0.5275779376498801,0.3322475570032573,0.6891891891891891,0.44835164835164837,0.5672969966629589,0.8829576883885681,0.5273289997717777,614,92,410,100
Magnitude warping,traditional,200,5000,100,1000,1100,4.545454545454546,0.6799999999999999,0.9009009009009009,0.6097560975609756,0.7272727272727273,0.8401826484018264,0.6216216216216216,0.7145631067961165,0.6557377049180327,0.9444138483186958,0.7808879789274918,219,112,35,100
Filtered@750 Masking Diffusion,generative_filtered,200,5000,100,750,850,5.882352941176471,0.7499999999999999,0.784,0.5975609756097561,0.6782006920415224,0.7061224489795919,0.5844594594594594,0.6395563770794824,0.6053184044786564,0.9263986607792711,0.722808523351978,245,123,72,100
Original only,none,201,5000,100,0,100,50.0,0.5499999999999999,0.3867924528301887,0.75,0.5103734439834025,0.2920353982300885,0.7804054054054054,0.4250229990800368,0.5848101265822785,0.8684276287059052,0.5165051918627835,791,65,560,100
Magnitude warping,traditional,201,5000,100,1000,1100,4.545454545454546,0.62,0.8059701492537313,0.6585365853658537,0.7248322147651006,0.7607843137254902,0.6554054054054054,0.7041742286751361,0.6740792216817234,0.9345977485564558,0.795547189620508,255,102,61,100
Filtered@750 Masking Diffusion,generative_filtered,201,5000,100,750,850,5.882352941176471,0.7499999999999999,0.7299270072992701,0.6097560975609756,0.6644518272425249,0.6559139784946236,0.6182432432432432,0.6365217391304347,0.6254272043745728,0.9224355863942939,0.7272472262981946,279,113,96,100
Original only,none,202,5000,100,0,100,50.0,0.4799999999999999,0.33879781420765026,0.7560975609756098,0.4679245283018868,0.25395152792413067,0.8141891891891891,0.38714859437751004,0.5649320206282231,0.8603868455529138,0.49496421497863824,949,55,708,100
Magnitude warping,traditional,202,5000,100,1000,1100,4.545454545454546,0.6499999999999999,0.9537037037037037,0.6280487804878049,0.7573529411764706,0.9790575916230366,0.6317567567567568,0.7679671457905544,0.68,0.9384334514047261,0.8227628831445843,191,109,4,100
Filtered@750 Masking Diffusion,generative_filtered,202,5000,100,750,850,5.882352941176471,0.7799999999999999,0.9550561797752809,0.5182926829268293,0.6719367588932806,0.9548387096774194,0.5,0.656319290465632,0.5526512322628827,0.9299711291183463,0.7496999704249027,155,148,7,100
Original only,none,203,5000,100,0,100,50.0,0.7899999999999999,0.5929203539823009,0.40853658536585363,0.48375451263537905,0.5665024630541872,0.3885135135135135,0.46092184368737477,0.414563806777217,0.8656193895870736,0.5043489271505569,203,181,88,100
Magnitude warping,traditional,203,5000,100,1000,1100,4.545454545454546,0.61,0.7676056338028169,0.6646341463414634,0.7124183006535948,0.7854406130268199,0.6925675675675675,0.7360861759425493,0.7093425605536332,0.9315905672279101,0.7920000898135535,261,91,56,100
Filtered@750 Masking Diffusion,generative_filtered,203,5000,100,750,850,5.882352941176471,0.7999999999999999,0.9629629629629629,0.47560975609756095,0.636734693877551,0.85,0.4594594594594595,0.5964912280701754,0.5059523809523809,0.9131423164636809,0.7241831499168694,160,160,24,100
Original only,none,204,5000,100,0,100,50.0,0.7699999999999999,0.5912408759124088,0.49390243902439024,0.5382059800664452,0.5227272727272727,0.46621621621621623,0.4928571428571429,0.47651933701657456,0.8837407200737541,0.5308994900598392,264,158,126,100
Magnitude warping,traditional,204,5000,100,1000,1100,4.545454545454546,0.63,0.9008264462809917,0.6646341463414634,0.7649122807017544,0.819327731092437,0.6587837837837838,0.7303370786516854,0.6856540084388185,0.9437563685768353,0.8036309157515462,238,101,43,100
Filtered@750 Masking Diffusion,generative_filtered,204,5000,100,750,850,5.882352941176471,0.74,0.8782608695652174,0.6158536585365854,0.7240143369175627,0.7991071428571429,0.6047297297297297,0.6884615384615385,0.6356534090909091,0.9357562230093649,0.7716470635852871,224,117,45,100
