method,augmentation_family,seed,generated_anomaly_used,threshold,validation_precision,validation_recall,validation_f1,precision,recall,f1,f2,auprc,false_negative,false_positive
Original only,none,42,0,0.4699999999999999,0.3078393881453155,0.9817073170731707,0.46870451237263466,0.20713785864240727,1.0,0.34318840579710147,0.5663987753539992,0.8099188711307705,0,1133
Original only,none,42,0,0.4799999999999999,0.3108108108108108,0.9817073170731707,0.47214076246334313,0.21082621082621084,1.0,0.34823529411764703,0.5718701700154559,0.8099188711307705,0,1108
Original only,none,42,0,0.48999999999999994,0.31176470588235294,0.9695121951219512,0.47181008902077154,0.21464829586656997,1.0,0.3534328358208955,0.5774483027701912,0.8099188711307705,0,1083
Original only,none,42,0,0.49999999999999994,0.316,0.9634146341463414,0.4759036144578313,0.22040208488458674,1.0,0.36119585112873703,0.5856747130985358,0.8099188711307705,0,1047
Original only,none,42,0,0.5099999999999999,0.31983805668016196,0.9634146341463414,0.48024316109422494,0.2237339380196523,1.0,0.3656578134651019,0.5903470283207021,0.8099188711307705,0,1027
Original only,none,42,0,0.5199999999999999,0.32510288065843623,0.9634146341463414,0.48615384615384616,0.227168073676132,1.0,0.3702313946216385,0.5950944913550462,0.8099188711307705,0,1007
Original only,none,42,0,0.5299999999999999,0.32842105263157895,0.9512195121951219,0.48826291079812206,0.23233908948194662,1.0,0.37707006369426754,0.6021155410903173,0.8099188711307705,0,978
Original only,none,42,0,0.5399999999999999,0.3247863247863248,0.926829268292683,0.4810126582278481,0.23698959167333866,1.0,0.3831715210355987,0.6083025071927661,0.8099188711307705,0,953
Original only,none,42,0,0.5499999999999999,0.3267543859649123,0.9085365853658537,0.4806451612903226,0.2428219852337982,1.0,0.39075907590759074,0.6158967956720766,0.8099188711307705,0,923
Original only,none,42,0,0.5599999999999999,0.33035714285714285,0.9024390243902439,0.48366013071895425,0.24769874476987447,1.0,0.3970489604292421,0.6221101303068516,0.8099188711307705,0,899
Original only,none,42,0,0.57,0.332579185520362,0.8963414634146342,0.48514851485148514,0.2547332185886403,1.0,0.4060356652949246,0.6308610400682012,0.8099188711307705,0,866
Original only,none,42,0,0.58,0.33410138248847926,0.8841463414634146,0.48494983277591974,0.26102292768959434,1.0,0.413986013986014,0.6384814495254529,0.8099188711307705,0,838
Original only,none,42,0,0.59,0.3341176470588235,0.8658536585365854,0.48217317487266553,0.2689844464775846,0.9932432432432432,0.42332613390928725,0.6455862977602108,0.8099188711307705,2,799
Original only,none,42,0,0.6,0.332541567695962,0.8536585365853658,0.47863247863247865,0.27502338634237605,0.9932432432432432,0.4307692307692308,0.6524633821571239,0.8099188711307705,2,775
Original only,none,42,0,0.61,0.3357487922705314,0.8475609756097561,0.4809688581314879,0.28351012536162007,0.9932432432432432,0.44111027756939236,0.6618640252138677,0.8099188711307705,2,743
Original only,none,42,0,0.62,0.34236453201970446,0.8475609756097561,0.48771929824561405,0.2919563058589871,0.9932432432432432,0.4512663085188028,0.670926517571885,0.8099188711307705,2,713
Original only,none,42,0,0.63,0.3484848484848485,0.8414634146341463,0.4928571428571429,0.2996941896024465,0.9932432432432432,0.46045418950665623,0.6789838337182448,0.8099188711307705,2,687
Original only,none,42,0,0.6399999999999999,0.3460559796437659,0.8292682926829268,0.4883303411131059,0.3057591623036649,0.9864864864864865,0.46682653876898483,0.6825619448340347,0.8099188711307705,4,663
Original only,none,42,0,0.6499999999999999,0.34536082474226804,0.8170731707317073,0.4855072463768116,0.3111587982832618,0.9797297297297297,0.4723127035830619,0.6852551984877127,0.8099188711307705,6,642
Original only,none,42,0,0.6599999999999999,0.34554973821989526,0.8048780487804879,0.4835164835164835,0.32,0.972972972972973,0.4816053511705686,0.690978886756238,0.8099188711307705,8,612
Original only,none,42,0,0.6699999999999999,0.3492063492063492,0.8048780487804879,0.4870848708487085,0.3295194508009153,0.972972972972973,0.49230769230769234,0.6997084548104956,0.8099188711307705,8,586
Original only,none,42,0,0.6799999999999999,0.34584450402144773,0.7865853658536586,0.48044692737430167,0.33607520564042304,0.9662162162162162,0.4986922406277245,0.7027027027027027,0.8099188711307705,10,565
Original only,none,42,0,0.69,0.34782608695652173,0.7804878048780488,0.48120300751879697,0.3397590361445783,0.9527027027027027,0.5008880994671403,0.7000993048659384,0.8099188711307705,14,548
Original only,none,42,0,0.7,0.349862258953168,0.774390243902439,0.4819734345351044,0.345679012345679,0.9459459459459459,0.5063291139240507,0.7021063189568706,0.8099188711307705,16,530
Original only,none,42,0,0.71,0.35195530726256985,0.7682926829268293,0.4827586206896552,0.35989717223650386,0.9459459459459459,0.521415270018622,0.7135575942915392,0.8099188711307705,16,498
Original only,none,42,0,0.72,0.3536231884057971,0.7439024390243902,0.4793713163064833,0.3592105263157895,0.9222972972972973,0.5170454545454546,0.7021604938271605,0.8099188711307705,23,487
Original only,none,42,0,0.73,0.35693215339233036,0.7378048780487805,0.48111332007952284,0.37193460490463215,0.9222972972972973,0.5300970873786408,0.7116788321167883,0.8099188711307705,23,461
Original only,none,42,0,0.74,0.36666666666666664,0.7378048780487805,0.4898785425101215,0.3799435028248588,0.9087837837837838,0.5358565737051793,0.7108879492600423,0.8099188711307705,27,439
Original only,none,42,0,0.7499999999999999,0.37658227848101267,0.725609756097561,0.49583333333333335,0.38529411764705884,0.8851351351351351,0.5368852459016393,0.7027896995708155,0.8099188711307705,34,418
Original only,none,42,0,0.7599999999999999,0.3848684210526316,0.7134146341463414,0.5,0.4,0.8783783783783784,0.5496828752642706,0.7088331515812432,0.8099188711307705,36,390
Original only,none,42,0,0.7699999999999999,0.39590443686006827,0.7073170731707317,0.5076586433260394,0.4064,0.8581081081081081,0.5515743756786102,0.7020453289110006,0.8099188711307705,42,371
Original only,none,42,0,0.7799999999999999,0.40350877192982454,0.7012195121951219,0.512249443207127,0.4268707482993197,0.847972972972973,0.5678733031674208,0.7082392776523702,0.8099188711307705,45,337
Original only,none,42,0,0.7899999999999999,0.4092526690391459,0.7012195121951219,0.5168539325842697,0.4385026737967914,0.831081081081081,0.574095682613769,0.7048710601719198,0.8099188711307705,50,315
Original only,none,42,0,0.7999999999999999,0.4197080291970803,0.7012195121951219,0.5251141552511416,0.4606741573033708,0.831081081081081,0.5927710843373494,0.7159487776484285,0.8099188711307705,50,288
Original only,none,42,0,0.8099999999999999,0.4216417910447761,0.6890243902439024,0.5231481481481481,0.4693069306930693,0.8006756756756757,0.5917602996254682,0.7015985790408525,0.8099188711307705,59,268
Original only,none,42,0,0.82,0.43359375,0.676829268292683,0.5285714285714286,0.502127659574468,0.7972972972972973,0.6161879895561357,0.713422007255139,0.8099188711307705,60,234
Original only,none,42,0,0.83,0.4721030042918455,0.6707317073170732,0.5541561712846348,0.5331807780320366,0.7871621621621622,0.635743519781719,0.7186921653300432,0.8099188711307705,63,204
Original only,none,42,0,0.84,0.5288461538461539,0.6707317073170732,0.5913978494623656,0.5675,0.7668918918918919,0.6522988505747126,0.7165404040404041,0.8099188711307705,69,173
Original only,none,42,0,0.8499999999999999,0.574468085106383,0.6585365853658537,0.6136363636363636,0.6082191780821918,0.75,0.6717095310136157,0.7165913492575855,0.8099188711307705,74,143
Original only,none,42,0,0.8599999999999999,0.601123595505618,0.6524390243902439,0.6257309941520468,0.6585365853658537,0.7297297297297297,0.6923076923076923,0.7142857142857143,0.8099188711307705,80,112
Original only,none,42,0,0.8699999999999999,0.6481481481481481,0.6402439024390244,0.6441717791411042,0.7080536912751678,0.7128378378378378,0.7104377104377104,0.7118758434547908,0.8099188711307705,85,87
Original only,none,42,0,0.8799999999999999,0.697986577181208,0.6341463414634146,0.6645367412140575,0.7601476014760148,0.6959459459459459,0.7266313932980599,0.7079037800687286,0.8099188711307705,90,65
Original only,none,42,0,0.8899999999999999,0.7372262773722628,0.6158536585365854,0.6710963455149501,0.8189655172413793,0.6418918918918919,0.7196969696969697,0.6709039548022598,0.8099188711307705,106,42
Original only,none,42,0,0.8999999999999999,0.8220338983050848,0.5914634146341463,0.6879432624113475,0.8792270531400966,0.6148648648648649,0.7236580516898609,0.6542056074766355,0.8099188711307705,114,25
Original only,none,42,0,0.9099999999999999,0.9134615384615384,0.5792682926829268,0.7089552238805971,0.9226519337016574,0.5641891891891891,0.70020964360587,0.6117216117216118,0.8099188711307705,129,14
Original only,none,42,0,0.9199999999999999,0.9278350515463918,0.5487804878048781,0.6896551724137931,0.9681528662420382,0.5135135135135135,0.6710816777041942,0.5667412378821775,0.8099188711307705,144,5
